location
Mumbai
Pune
Nashik
Nagpur
Aurangabad
Thane
Solapur
Kolhapur
Amravati
Akola
Patna
Gaya
Bhagalpur
Muzaffarpur
Noida
Lucknow
Kanpur
Agra
Varanasi
Meerut
Chennai
Coimbatore
Madurai
Vellore
Bangalore
Mysore
Mangalore
Udupi

Guntur
Vijayawada
Tirupati
Kurnool
Ongole
Hyderabad
Warangal
Nizamabad
Adilabad
Karimnagar
Ludhiana
Jalandhar
Patiala
Hoshiarpur
Mohali
Amritsar
Kochi
Kannur
Kollam
Palakkad
Thrissur
Panaji
Mapusa
Margao
Ponda
Indore
Bhopal
Ujjain
Jabalpur
Ratlam

Sagar
Gwalior
Itanagar
Tawang
Ziro
Tezu
Jaipur
Jodhpur
Udaipur
Bikaner
Kota
Ajmer
Bharatpur
Alwar
Ahmedabad
Vadodara
Surat
Rajkot
Bhavnagar
Anand
Gandhinagar
Gurugram
Karnal
Faridabad
Panipat
Hisar
Rohtak
